01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2009,Arcos de Valdevez,Município,Mulheres,,,,,452.7
2009,Arcos de Valdevez,Município,Total,,,,,790.9
2009,Arganil,Município,Homens,,,,,187.7
2009,Arganil,Município,Mulheres,,,,,194.7
2009,Arganil,Município,Total,,,,,382.3
2009,Armamar,Município,Homens,,,,,103.2
2009,Armamar,Município,Mulheres,,,,,161.8
2009,Armamar,Município,Total,,,,,264.9
2009,Arouca,Município,Homens,,,,,271.7
2009,Arouca,Município,Mulheres,,,,,438.3
2009,Arouca,Município,Total,,,,,710.0
2009,Arraiolos,Município,Homens,,,,,108.0
2009,Arraiolos,Município,Mulheres,,,,,129.0
2009,Arraiolos,Município,Total,,,,,237.0
2009,Arronches,Município,Homens,,,,,52.9
2009,Arronches,Município,Mulheres,,,,,48.7
2009,Arronches,Município,Total,,,,,101.6
2009,Arruda dos Vinhos,Município,Homens,,,,,175.3
2009,Arruda dos Vinhos,Município,Mulheres,,,,,183.0
2009,Arruda dos Vinhos,Município,Total,,,,,358.3
2009,Aveiro,Município,Homens,,,,,1754.1
2009,Aveiro,Município,Mulheres,,,,,1897.3
2009,Aveiro,Município,Total,,,,,3651.3
2009,Avis,Município,Homens,,,,,95.4
2009,Avis,Município,Mulheres,,,,,136.9
2009,Avis,Município,Total,,,,,232.3
2009,Azambuja,Município,Homens,,,,,509.1
2009,Azambuja,Município,Mulheres,,,,,471.4
2009,Azambuja,Município,Total,,,,,980.5
2009,Baião,Município,Homens,,,,,437.8
2009,Baião,Município,Mulheres,,,,,1321.3
2009,Baião,Município,Total,,,,,1759.2
2009,Barcelos,Município,Homens,,,,,2155.8
2009,Barcelos,Município,Mulheres,,,,,2871.1
2009,Barcelos,Município,Total,,,,,5026.9
2009,Barrancos,Município,Homens,,,,,36.3
2009,Barrancos,Município,Mulheres,,,,,54.3
