Ano,Regiao,Desemprego,Salario_Medio,Populacao,Rendimento_per_capita
2009,Guarda,1804.1,833.7,22383.0,0.03724701782602868
2009,Guarda,1804.1,833.7,42880.0,0.019442630597014926
2009,Idanha-a-Nova,316.0,720.8,4770.0,0.1511111111111111
2009,Idanha-a-Nova,316.0,720.8,5231.0,0.1377939208564328
2009,Idanha-a-Nova,316.0,720.8,10001.0,0.07207279272072792
2009,Ílhavo,1790.7,926.6,18443.0,0.05024128395597246
2009,Ílhavo,1790.7,926.6,20099.0,0.04610179610925917
2009,Ílhavo,1790.7,926.6,38542.0,0.02404130558870842
2009,Lagoa,1124.1,898.6,11219.0,0.0800962652642838
2009,Lagoa,1124.1,898.6,11551.0,0.07779413037832222
2009,Lagoa,1124.1,898.6,22770.0,0.03946420729029425
2009,Lagos,1409.3,843.3,14844.0,0.056810832659660464
2009,Lagos,1409.3,843.3,15630.0,0.05395393474088291
2009,Lagos,1409.3,843.3,30474.0,0.027672770230360307
2009,Lamego,1496.1,765.5,12916.0,0.05926757510065036
2009,Lamego,1496.1,765.5,14083.0,0.05435631612582546
2009,Lamego,1496.1,765.5,26999.0,0.028352901959331826
2009,Loulé,2773.3,939.3,33993.0,0.027632159562262816
2009,Loulé,2773.3,939.3,35545.0,0.026425657617105077
2009,Lourinhã,955.5,755.9,12474.0,0.060598043931377264
2009,Lourinhã,955.5,755.9,13112.0,0.057649481391092126
2009,Lourinhã,955.5,755.9,25586.0,0.029543500351754865
2009,Lousã,755.8,824.7,8454.0,0.0975514549325763
2009,Lousã,755.8,824.7,9014.0,0.09149101397825606
2009,Lousã,755.8,824.7,17468.0,0.04721204488207007
2009,Lousada,2487.4,676.4,23154.0,0.029213094929601797
2009,Lousada,2487.4,676.4,24193.0,0.027958500392675566
2009,Lousada,2487.4,676.4,47347.0,0.014286016009462056
2009,Mação,140.3,774.6,3592.0,0.21564587973273944
2009,Mação,140.3,774.6,3926.0,0.19730005094243505
2009,Mação,140.3,774.6,7518.0,0.10303272146847565
2009,Macedo de Cavaleiros,702.3,714.8,7663.0,0.09327939449301839
2009,Macedo de Cavaleiros,702.3,714.8,8376.0,0.08533906399235912
2009,Macedo de Cavaleiros,702.3,714.8,16039.0,0.044566369474406134
2009,Mafra,2339.3,863.6,36251.0,0.02382279109541806
2009,Mafra,2339.3,863.6,38075.0,0.02268154957321077
2009,Mangualde,1082.8,895.8,9667.0,0.09266577014585703
2009,Mangualde,1082.8,895.8,10405.0,0.0860932244113407
2009,Mangualde,1082.8,895.8,20072.0,0.044629334396173774
2009,Manteigas,204.1,725.0,1669.0,0.4343918514080288
2009,Manteigas,204.1,725.0,1854.0,0.39104638619201726
2009,Manteigas,204.1,725.0,3523.0,0.20579051944365598
2009,Marco de Canaveses,3365.8,739.6,26221.0,0.028206399450821863
2009,Marco de Canaveses,3365.8,739.6,27389.0,0.027003541567782688
2009,Marco de Canaveses,3365.8,739.6,53610.0,0.013795933594478643
2009,Marinha Grande,1799.8,1056.7,18569.0,0.056906672411007594
2009,Marinha Grande,1799.8,1056.7,19892.0,0.05312185803338026
2009,Marinha Grande,1799.8,1056.7,38461.0,0.02747458464418502
2009,Marvão,98.8,680.7,1758.0,0.3872013651877133
2009,Marvão,98.8,680.7,1840.0,0.36994565217391306
2009,Marvão,98.8,680.7,3598.0,0.18918843802112287
2009,Mealhada,732.8,886.1,9907.0,0.08944180882204503
2009,Mealhada,732.8,886.1,10632.0,0.08334273890142965
2009,Mealhada,732.8,886.1,20539.0,0.043142314620964996
2009,Mêda,86.8,694.8,2519.0,0.2758237395791981
2009,Mêda,86.8,694.8,2810.0,0.2472597864768683
2009,Mêda,86.8,694.8,5329.0,0.13038093450928878
2009,Melgaço,137.9,729.9,4143.0,0.17617668356263577
2009,Melgaço,137.9,729.9,5213.0,0.1400153462497602
2009,Melgaço,137.9,729.9,9356.0,0.07801410859341598
2009,Mértola,212.0,733.6,3679.0,0.1994020114161457
2009,Mértola,212.0,733.6,3764.0,0.1948990435706695
2009,Mértola,212.0,733.6,7443.0,0.09856240763133145
2009,Mesão Frio,397.7,869.0,2157.0,0.4028743625405656
2009,Mesão Frio,397.7,869.0,2362.0,0.3679085520745131
2009,Mesão Frio,397.7,869.0,4519.0,0.19229918123478645
2009,Mira,533.3,737.1,5949.0,0.12390317700453858
2009,Mira,533.3,737.1,6603.0,0.11163107678328033
2009,Mira,533.3,737.1,12552.0,0.05872370936902486
2009,Miranda do Corvo,421.3,723.9,6373.0,0.11358857680841047
2009,Miranda do Corvo,421.3,723.9,6792.0,0.10658127208480565
2009,Miranda do Corvo,421.3,723.9,13165.0,0.05498670717812381
2009,Miranda do Douro,173.7,755.7,3729.0,0.20265486725663717
2009,Miranda do Douro,173.7,755.7,3863.0,0.1956251617913539
2009,Miranda do Douro,173.7,755.7,7592.0,0.09953898840885143
2009,Mirandela,1182.3,805.9,11538.0,0.06984746056508927
2009,Mirandela,1182.3,805.9,12620.0,0.06385895404120444
2009,Mirandela,1182.3,805.9,24158.0,0.03335954963159202
2009,Mogadouro,315.2,809.5,4815.0,0.16812045690550365
2009,Mogadouro,315.2,809.5,4934.0,0.16406566680178356
2009,Mogadouro,315.2,809.5,9749.0,0.08303415734947174
2009,Moimenta da Beira,508.8,672.2,4959.0,0.13555152248437186
2009,Moimenta da Beira,508.8,672.2,5373.0,0.125107016564303
2009,Moimenta da Beira,508.8,672.2,10332.0,0.06506000774293458
2009,Monção,580.6,718.7,8829.0,0.08140219730433798
2009,Monção,580.6,718.7,10575.0,0.06796217494089835
2009,Monção,580.6,718.7,19404.0,0.03703875489589775
2009,Monchique,186.8,740.4,3111.0,0.23799421407907426
2009,Monchique,186.8,740.4,3059.0,0.24203988231448184
2009,Monchique,186.8,740.4,6170.0,0.12
2009,Mondim de Basto,436.5,616.7,3692.0,0.1670368364030336
2009,Mondim de Basto,436.5,616.7,3960.0,0.15573232323232325
2009,Mondim de Basto,436.5,616.7,7652.0,0.08059330893883952
2009,Monforte,139.2,821.4,1554.0,0.5285714285714286
2009,Monforte,139.2,821.4,1795.0,0.4576044568245125
2009,Monforte,139.2,821.4,3349.0,0.24526724395341892
2009,Montalegre,283.3,747.9,5254.0,0.1423486867148839
2009,Montalegre,283.3,747.9,5577.0,0.13410435718128025
2009,Montalegre,283.3,747.9,10831.0,0.06905179577139692
2009,Montemor-o-Novo,521.8,839.9,8589.0,0.09778786820351612
2009,Montemor-o-Novo,521.8,839.9,9052.0,0.09278612461334511
2009,Montemor-o-Novo,521.8,839.9,17641.0,0.047610679666685564
2009,Montemor-o-Velho,990.6,771.3,12590.0,0.06126290706910246
2009,Montemor-o-Velho,990.6,771.3,13531.0,0.05700243884413569
2009,Montemor-o-Velho,990.6,771.3,26121.0,0.029527966004364303
2009,Montijo,2132.6,919.9,24140.0,0.03810687655343828
2009,Montijo,2132.6,919.9,25838.0,0.03560260082049694
2009,Montijo,2132.6,919.9,49978.0,0.018406098683420705
2009,Mora,181.8,758.8,2481.0,0.305844417573559
2009,Mora,181.8,758.8,2618.0,0.28983957219251333
2009,Mora,181.8,758.8,5099.0,0.14881349284173367
2009,Mortágua,227.2,895.1,4697.0,0.19056844794549713
2009,Mortágua,227.2,895.1,5026.0,0.17809391165937127
2009,Mortágua,227.2,895.1,9723.0,0.09206006376632726
2009,Moura,999.8,845.5,7556.0,0.11189782953943886
2009,Moura,999.8,845.5,7803.0,0.10835576060489556
2009,Moura,999.8,845.5,15359.0,0.05504915684614884
2009,Mourão,91.8,761.7,1353.0,0.5629711751662971
2009,Mourão,91.8,761.7,1373.0,0.5547705753823744
2009,Mourão,91.8,761.7,2726.0,0.2794203961848863
2009,Murça,277.1,701.5,2946.0,0.2381194840461643
2009,Murça,277.1,701.5,3100.0,0.22629032258064516
2009,Murça,277.1,701.5,6046.0,0.11602712537214688
2009,Murtosa,414.4,722.6,5073.0,0.14244037058939485
2009,Murtosa,414.4,722.6,5444.0,0.13273328434974285
